district,block,cluster,code
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000101
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000102
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000110
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000111
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000112
KORIYA,BAIKUNTHPUR,CHINIDYA,22012000113
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000114
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000115
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000116
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000118
KORIYA,BAIKUNTHPUR,KHARVAT,22012000122
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000127
KORIYA,BAIKUNTHPUR,MAHALPARA,22012000139
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000140
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000141
KORIYA,BAIKUNTHPUR,KHARVAT,22012000144
KORIYA,BAIKUNTHPUR,MODIPARA,22012000301
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000401
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000402
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000403
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000404
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000405
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000406
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000501
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000502
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000503
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000601
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000602
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000603
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000701
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000702
KORIYA,BAIKUNTHPUR,BAIKUNTHPUR GIRL,22012000801
KORIYA,BAIKUNTHPUR,BISHUNPUR,22012000802
KORIYA,BAIKUNTHPUR,CHINIDYA,22012000901
KORIYA,BAIKUNTHPUR,CHINIDYA,22012000903
KORIYA,BAIKUNTHPUR,CHINIDYA,22012000904
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001001
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001101
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001201
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001202
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001301
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001401
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001501
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001502
KORIYA,BAIKUNTHPUR,MAHALPARA,22012001503
KORIYA,BAIKUNTHPUR,SALKA,22012001601
KORIYA,BAIKUNTHPUR,SALKA,22012001602
